Permalink,Name,Description,Meta Title,Meta Description,Width,Lenght,Height,Brand,Categories,Images,Digital,Featured,Status,SKU,Weight,Stock,Stock Unlimited,Price,Variant Image,Variant 1 Option Name,Variant 1 Option Type,Variant 1 Option Value,Variant 2 Option Name,Variant 2 Option Type,Variant 2 Option Value,Custom Field 1 Label,Custom Field 1 Value,Custom Field 2 Label,Custom Field 2 Value
,Woo Single #2,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,Limonada,Top/Blusa,,NO,NO,available,L41401180101625,1,56,NO,100000,,Talla,option,18,Color,option,Blanco,Temporada,Verano,Año,2018
,Woo Single #1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,L41401180101625,1,56,NO,100000,,Talla,option,18,Color,option,Negro,,,,
,Woo Singles,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,L41401180101625,1,56,NO,100000,,Talla,option,17,Color,option,Blanco,,,,
,Woo Album #4,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,L41401180101625,1,56,NO,100000,,Talla,option,17,Color,option,Negro,,,,
,Woo Album #3,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,Limonada,Zapatos,,NO,NO,available,L41401180101627,1,56,NO,100000,,Talla,option,18,Color,option,Blanco,Temporada,Verano,Año,2018
,Woo Album #2,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,L41401180101627,1,56,NO,100000,,Talla,option,18,Color,option,Negro,,,,
,Woo Album #1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,L41401180101627,1,56,NO,100000,,Talla,option,17,Color,option,Blanco,,,,
,Woo Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,L41401180101627,1,56,NO,100000,,Talla,option,17,Color,option,Negro,,,,
,Woo Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Premium Quality,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flying Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ship Your Idea,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woo Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ninja Silhouette,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Happy Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patient Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woo Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ship Your Idea,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ship Your Idea - Blue, XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ship Your Idea - Black, L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Happy Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woo Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ninja Silhouette,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ship Your Idea,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ship Your Idea - Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ship Your Idea - Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Premium Quality,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woo Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,,,,,,,,,,,,,,,,,,,,,,,,